Iteration	Time	TimestepsThisBatch	PoolSize	MaxEpReturn	LastEpReturn	Episodes	TimestepsSoFar
111	1502.5819373130798	1000	113000	-9.40610293086873	-3003.973610364915	367	113000
112	1515.986001253128	1000	114000	-9.40610293086873	-3003.0416080239056	368	114000
113	1529.375057220459	1000	115000	-9.40610293086873	-3003.618557451732	369	115000
114	1542.7829010486603	1000	116000	-9.40610293086873	-3003.5918703697002	370	116000
115	1556.182454109192	1000	117000	-9.40610293086873	-3002.5574269976337	371	117000
116	1569.5962092876434	1000	118000	-9.40610293086873	-3002.713736101146	372	118000
117	1582.9936933517456	1000	119000	-9.40610293086873	-3003.3534477504286	373	119000
118	1596.3952052593231	1000	120000	-9.40610293086873	-3005.334215092852	374	120000
119	1609.867266178131	1000	121000	-9.40610293086873	-3004.745084406399	375	121000
120	1623.2746460437775	1000	122000	-9.40610293086873	-3006.596657475229	376	122000
121	1636.672579050064	1000	123000	-9.40610293086873	-3004.1333408500723	377	123000
122	1650.0674822330475	1000	124000	-9.40610293086873	-3005.910819935811	378	124000
123	1663.4685230255127	1000	125000	-9.40610293086873	-3005.5834523782014	379	125000
124	1676.8516700267792	1000	126000	-9.40610293086873	-3003.977758461817	380	126000
125	1690.2463071346283	1000	127000	-9.40610293086873	-3005.1986683173955	381	127000
126	1703.6478803157806	1000	128000	-9.40610293086873	-3002.4658599426316	382	128000
127	1717.0360460281372	1000	129000	-9.40610293086873	-3005.557954911562	383	129000
128	1730.4342782497406	1000	130000	-9.40610293086873	-3004.4752004540574	384	130000
129	1743.8255512714386	1000	131000	-9.40610293086873	-3005.7976517409415	385	131000
130	1757.2048580646515	1000	132000	-9.40610293086873	-3004.827102066243	386	132000
131	1770.6051273345947	1000	133000	-9.40610293086873	-3005.218863342194	387	133000
132	1784.0019471645355	1000	134000	-9.40610293086873	-3006.7002661041397	388	134000
133	1797.3937320709229	1000	135000	-9.40610293086873	-3002.6788263785206	389	135000
134	1810.791570186615	1000	136000	-9.40610293086873	-3003.1785517090693	390	136000
135	1824.1718051433563	1000	137000	-9.40610293086873	-3001.526487030671	391	137000
136	1837.5797791481018	1000	138000	-9.40610293086873	-3004.027126659922	392	138000
137	1850.982295036316	1000	139000	-9.40610293086873	-3005.1029833973084	393	139000
138	1864.3785121440887	1000	140000	-9.40610293086873	-3005.083494474416	394	140000
139	1877.774542093277	1000	141000	-9.40610293086873	-3004.586982801007	395	141000
140	1891.1855232715607	1000	142000	-9.40610293086873	-3004.6615498963224	396	142000
141	1904.6560990810394	1000	143000	-9.40610293086873	-3005.3561243610543	397	143000
142	1918.1341869831085	1000	144000	-9.40610293086873	-3002.530209220561	398	144000
143	1931.5310752391815	1000	145000	-9.40610293086873	-3005.573781723841	399	145000
144	1944.954439163208	1000	146000	-9.40610293086873	-3002.960475185992	400	146000
145	1958.3506162166595	1000	147000	-9.40610293086873	-3003.942541458329	401	147000
146	1971.746516942978	1000	148000	-9.40610293086873	-3004.5147531657526	402	148000
147	1985.17032122612	1000	149000	-9.40610293086873	-3003.1285827511488	403	149000
148	1998.8051941394806	1000	150000	-9.40610293086873	-3002.3599722944305	404	150000
149	2012.217122077942	1000	151000	-9.40610293086873	-3003.6714486434184	405	151000
150	2025.630121231079	1000	152000	-9.40610293086873	-3006.9085849089856	406	152000
151	2039.1118562221527	1000	153000	-9.40610293086873	-3005.5377422051956	407	153000
152	2052.543361186981	1000	154000	-9.40610293086873	-2999.7159858687237	408	154000
153	2065.975147008896	1000	155000	-9.40610293086873	-3003.3351558085783	409	155000
154	2079.4229831695557	1000	156000	-9.40610293086873	-3002.8821853998707	410	156000
155	2092.9585189819336	1000	157000	-9.40610293086873	-3004.1326009150266	411	157000
156	2106.376085996628	1000	158000	-9.40610293086873	-3004.320878596767	412	158000
157	2119.790585041046	1000	159000	-9.40610293086873	-3002.9912691606746	413	159000
158	2133.184262275696	1000	160000	-9.40610293086873	-3004.246559255209	414	160000
159	2146.6134152412415	1000	161000	-9.40610293086873	-3008.339375616155	415	161000
160	2160.019811153412	1000	162000	-9.40610293086873	-3004.139697012557	416	162000
161	2173.4560861587524	1000	163000	-9.40610293086873	-3003.4907803484452	417	163000
162	2186.872533082962	1000	164000	-9.40610293086873	-3002.7093405406335	418	164000
163	2200.282777070999	1000	165000	-9.40610293086873	-3005.010158681502	419	165000
164	2213.675448179245	1000	166000	-9.40610293086873	-3004.24562832885	420	166000
165	2227.079154253006	1000	167000	-9.40610293086873	-3003.089576054643	421	167000
166	2240.495202064514	1000	168000	-9.40610293086873	-3004.96257050724	422	168000
167	2253.893144130707	1000	169000	-9.40610293086873	-3003.5187414371276	423	169000
168	2267.3370501995087	1000	170000	-9.40610293086873	-3003.8477577375343	424	170000
169	2280.733654022217	1000	171000	-9.40610293086873	-3002.960977690441	425	171000
170	2294.153699159622	1000	172000	-9.40610293086873	-3003.261205207523	426	172000
171	2307.5840401649475	1000	173000	-9.40610293086873	-3002.7491417228343	427	173000
172	2320.9986963272095	1000	174000	-9.40610293086873	-3005.66780421839	428	174000
173	2334.3989193439484	1000	175000	-9.40610293086873	-3003.5735111129825	429	175000
174	2347.8072633743286	1000	176000	-9.40610293086873	-3003.5799993922355	430	176000
175	2361.2108352184296	1000	177000	-9.40610293086873	-3004.650088586821	431	177000
176	2374.6070601940155	1000	178000	-9.40610293086873	-3005.051793852046	432	178000
177	2388.007976293564	1000	179000	-9.40610293086873	-3005.4348451634314	433	179000
178	2401.4415471553802	1000	180000	-9.40610293086873	-3003.6274875865597	434	180000
179	2415.0109741687775	1000	181000	-9.40610293086873	-3003.0555759721947	435	181000
180	2428.671199321747	1000	182000	-9.40610293086873	-3005.768074468486	436	182000
181	2442.505503177643	1000	183000	-9.40610293086873	-3005.9633855984384	437	183000
182	2456.149024963379	1000	184000	-9.40610293086873	-3003.365140841112	438	184000
183	2469.8271763324738	1000	185000	-9.40610293086873	-3003.970055515344	439	185000
184	2483.5170800685883	1000	186000	-9.40610293086873	-3003.0403521581065	440	186000
185	2497.1473112106323	1000	187000	-9.40610293086873	-3005.0878595156673	441	187000
186	2510.846615076065	1000	188000	-9.40610293086873	-3004.587548213122	442	188000
187	2524.6452691555023	1000	189000	-9.40610293086873	-3003.391881419083	443	189000
188	2538.656829357147	1000	190000	-9.40610293086873	-3005.834697108057	444	190000
189	2552.4501202106476	1000	191000	-9.40610293086873	-3004.28615019674	445	191000
190	2566.0791490077972	1000	192000	-9.40610293086873	-3002.7405930282403	446	192000
191	2579.6777992248535	1000	193000	-9.40610293086873	-3005.483323364075	447	193000
192	2593.241223335266	1000	194000	-9.40610293086873	-3003.741900714985	448	194000
193	2606.7923641204834	1000	195000	-9.40610293086873	-3005.5263393014784	449	195000
194	2620.318680047989	1000	196000	-9.40610293086873	-3005.5760438786297	450	196000
195	2633.8228211402893	1000	197000	-9.40610293086873	-3004.138655271889	451	197000
196	2647.4846410751343	1000	198000	-9.40610293086873	-3005.00631713885	452	198000
197	2660.985724210739	1000	199000	-9.40610293086873	-3004.322076891296	453	199000
198	2674.6870381832123	1000	200000	-9.40610293086873	-3001.4415922711514	454	200000
199	2688.359710216522	1000	201000	-9.40610293086873	-3004.4192003187036	455	201000
200	2701.9507822990417	1000	202000	-9.40610293086873	-3006.035806778989	456	202000
201	2715.5641701221466	1000	203000	-9.40610293086873	-3001.743401408728	457	203000
202	2729.001242160797	1000	204000	-9.40610293086873	-3002.680818049705	458	204000
203	2742.5767772197723	1000	205000	-9.40610293086873	-3006.601870678291	459	205000
204	2756.2770051956177	1000	206000	-9.40610293086873	-3004.255379225966	460	206000
205	2769.822302341461	1000	207000	-9.40610293086873	-3004.7325341218716	461	207000
206	2783.3007242679596	1000	208000	-9.40610293086873	-3001.60586125754	462	208000
207	2796.760500192642	1000	209000	-9.40610293086873	-3002.458125959463	463	209000
208	2810.2201232910156	1000	210000	-9.40610293086873	-3003.8922772495434	464	210000
209	2823.676315307617	1000	211000	-9.40610293086873	-3000.9950260608016	465	211000
210	2837.1325392723083	1000	212000	-9.40610293086873	-3002.4994944971363	466	212000
211	2850.6610770225525	1000	213000	-9.40610293086873	-3003.1400931997814	467	213000
212	2864.1175951957703	1000	214000	-9.40610293086873	-3003.550238014502	468	214000
213	2877.5503520965576	1000	215000	-9.40610293086873	-3003.7436880433993	469	215000
214	2890.9885811805725	1000	216000	-9.40610293086873	-3004.987035642362	470	216000
215	2904.450118303299	1000	217000	-9.40610293086873	-3003.0544983570203	471	217000
216	2917.8690831661224	1000	218000	-9.40610293086873	-3004.2260637686677	472	218000
